IJK,IX,IY,IZ,XC,YC,ZC,__in,Au_OK,Au_ID2,Au_NN,Au_Lagrange,Au_KVar
13649,5,19,9,27.5,97.5,47.5,0.375,0.6137448,0.7369439,0.33116302,-0.013288565,0.22703072
13650,6,19,9,32.5,97.5,47.5,0.5,0.73261565,0.808531,0.33116302,0.0018188755,0.16581134
13651,7,19,9,37.5,97.5,47.5,0.5,0.87002635,0.87547296,0.6582347,0.009578758,0.11253348
13652,8,19,9,42.5,97.5,47.5,0.75,1.0136139,0.99032843,1.03936,0.010235962,0.06684396
13653,9,19,9,47.5,97.5,47.5,1.0,1.022433,1.0128598,1.129743,0.008448819,0.034474887
13654,10,19,9,52.5,97.5,47.5,1.0,0.81618965,0.8495117,0.7014986,0.009667282,0.05322213
13655,11,19,9,57.5,97.5,47.5,0.875,0.57621294,0.64938486,0.6192879,0.010653755,0.09221679
13656,12,19,9,62.5,97.5,47.5,0.625,0.5025664,0.63136524,0.5120143,0.005176004,0.12597832
13657,13,19,9,67.5,97.5,47.5,0.5,0.5473497,0.5453864,0.46889418,0.012690614,0.17011912
13658,14,19,9,72.5,97.5,47.5,0.375,0.5131284,0.574046,0.34793878,0.012878469,0.22917357
13659,15,19,9,77.5,97.5,47.5,0.125,0.4881498,0.61963934,0.34793878,0.010781931,0.2950721
13685,5,20,9,27.5,102.5,47.5,0.25,0.5787478,0.7268436,0.33116302,-0.01190496,0.23179089
13686,6,20,9,32.5,102.5,47.5,0.5,0.69052947,0.7745396,0.33116302,-0.0007951298,0.16828176
13687,7,20,9,37.5,102.5,47.5,0.5,0.79625875,0.8359817,0.6582347,0.0063153054,0.112900496
13688,8,20,9,42.5,102.5,47.5,0.75,0.93025476,0.96346295,1.03936,0.009481198,0.06676618
13689,9,20,9,47.5,102.5,47.5,1.0,0.97212756,1.0080432,1.129743,0.008745668,0.03437472
13690,10,20,9,52.5,102.5,47.5,1.0,0.7866717,0.8435228,0.7014986,0.0043851333,0.053271323
13691,11,20,9,57.5,102.5,47.5,0.75,0.55967396,0.6469084,0.6192879,0.005170098,0.09273289
13692,12,20,9,62.5,102.5,47.5,0.5,0.504204,0.6272792,0.5120143,-0.008262822,0.12905094
13693,13,20,9,67.5,102.5,47.5,0.5,0.45215237,0.5841518,0.46889418,-0.0098938765,0.1730954
13694,14,20,9,72.5,102.5,47.5,0.25,0.5122989,0.57454145,0.34793878,-0.0033282065,0.23683694
13721,5,21,9,27.5,107.5,47.5,0.25,0.57286155,0.71181345,0.33116302,-0.017506532,0.25263795
13722,6,21,9,32.5,107.5,47.5,0.5,0.65253514,0.7380699,0.33116302,0.0015276021,0.1895119
13723,7,21,9,37.5,107.5,47.5,0.5,0.7551378,0.7939129,0.6582347,0.017390596,0.14189608
13724,8,21,9,42.5,107.5,47.5,0.75,0.8634494,0.91209364,1.03936,0.02134945,0.10972237
13725,9,21,9,47.5,107.5,47.5,1.0,0.9030813,0.97053856,1.129743,0.020982597,0.092059284
13726,10,21,9,52.5,107.5,47.5,1.0,0.7395962,0.81740624,0.7014986,0.019205727,0.10243107
13727,11,21,9,57.5,107.5,47.5,0.75,0.50194347,0.6430014,0.6192879,0.0053640013,0.12540556
13728,12,21,9,62.5,107.5,47.5,0.5,0.46254265,0.6206719,0.5120143,0.0058082463,0.15593632
13729,13,21,9,67.5,107.5,47.5,0.5,0.50263035,0.62208706,0.46889418,-0.021923125,0.20520853
13730,14,21,9,72.5,107.5,47.5,0.25,0.4946722,0.5451904,0.34793878,-0.0069540953,0.2600827
13757,5,22,9,27.5,112.5,47.5,0.125,0.54423887,0.6867349,0.33116302,-0.022278333,0.28241205
13758,6,22,9,32.5,112.5,47.5,0.375,0.6136011,0.7045789,0.33116302,0.0060220743,0.22300413
13759,7,22,9,37.5,112.5,47.5,0.5,0.6971924,0.74259293,0.6582347,0.023627557,0.18345737
13760,8,22,9,42.5,112.5,47.5,0.75,0.7803823,0.8359579,1.03936,0.029096091,0.16250677
13761,9,22,9,47.5,112.5,47.5,1.0,0.8227045,0.8930388,1.129743,0.028966485,0.15363942
13762,10,22,9,52.5,112.5,47.5,1.0,0.684352,0.76887685,0.7014986,0.025712393,0.16080701
13763,11,22,9,57.5,112.5,47.5,0.75,0.50948256,0.6287795,0.6192879,0.020169072,0.17725965
13764,12,22,9,62.5,112.5,47.5,0.5,0.44022867,0.6283506,0.5120143,0.0071911733,0.20152442
13765,13,22,9,67.5,112.5,47.5,0.375,0.33110258,0.59508276,0.46889418,0.009157548,0.23693211
13766,14,22,9,72.5,112.5,47.5,0.125,0.5026509,0.5400773,0.34793878,-0.008768153,0.29907754
13794,6,23,9,32.5,117.5,47.5,0.25,0.5681528,0.65778446,0.33116302,0.006581826,0.25677675
13795,7,23,9,37.5,117.5,47.5,0.5,0.6324061,0.6780113,0.6582347,0.025945183,0.22082026
13796,8,23,9,42.5,117.5,47.5,0.75,0.6949497,0.7473988,1.03936,0.03289246,0.20493242
13797,9,23,9,47.5,117.5,47.5,1.0,0.737044,0.7992643,1.129743,0.032852024,0.20088322
13798,10,23,9,52.5,117.5,47.5,0.875,0.6237677,0.70698124,0.7014986,0.027996875,0.20909077
13799,11,23,9,57.5,117.5,47.5,0.625,0.4845686,0.6136189,0.6192879,0.019447476,0.22494079
13800,12,23,9,62.5,117.5,47.5,0.5,0.4015954,0.64006585,0.5120143,0.023076199,0.24436915
13801,13,23,9,67.5,117.5,47.5,0.25,0.3399973,0.5535339,0.46889418,0.013784728,0.28113326
13830,6,24,9,32.5,122.5,47.5,0.25,0.5277362,0.5939366,0.33116302,0.005180693,0.2819907
13831,7,24,9,37.5,122.5,47.5,0.5,0.5648447,0.6031195,0.6582347,0.025614537,0.24405721
13832,8,24,9,42.5,122.5,47.5,0.75,0.61218315,0.64378965,1.03936,0.035320852,0.22795862
13833,9,24,9,47.5,122.5,47.5,1.0,0.64953136,0.69405615,1.129743,0.033259407,0.22693549
13834,10,24,9,52.5,122.5,47.5,0.75,0.56042475,0.632591,0.7014986,0.026652727,0.23949972
13835,11,24,9,57.5,122.5,47.5,0.5,0.45711476,0.58228624,0.6192879,0.015025088,0.26135945
13836,12,24,9,62.5,122.5,47.5,0.5,0.36994252,0.60778236,0.5120143,0.023188666,0.28288287
13837,13,24,9,67.5,122.5,47.5,0.25,0.44254497,0.52503407,0.46889418,0.02039464,0.32236108
13866,6,25,9,32.5,127.5,47.5,0.25,0.48858342,0.5450922,0.23857316,0.005122471,0.29229277
13867,7,25,9,37.5,127.5,47.5,0.5,0.50139827,0.5200977,0.23857316,0.022455882,0.24805619
13868,8,25,9,42.5,127.5,47.5,0.75,0.53358495,0.53360635,0.15558638,0.033616498,0.22800232
13869,9,25,9,47.5,127.5,47.5,1.0,0.5496057,0.54981136,0.43370858,0.03588411,0.22752744
13870,10,25,9,52.5,127.5,47.5,0.75,0.48816714,0.51461035,0.055808213,0.031239964,0.24488276
13871,11,25,9,57.5,127.5,47.5,0.5,0.4146476,0.5161734,0.055808213,0.020472988,0.27516603
13872,12,25,9,62.5,127.5,47.5,0.375,0.32874915,0.53250223,0.5120143,0.026296727,0.30923757
13873,13,25,9,67.5,127.5,47.5,0.125,0.4197679,0.5063903,0.46889418,0.015503815,0.3539327
13902,6,26,9,32.5,132.5,47.5,0.25,0.44378772,0.46904725,0.23857316,-0.0030577448,0.28843617
13903,7,26,9,37.5,132.5,47.5,0.5,0.45076185,0.44149962,0.23857316,0.017434187,0.23198152
13904,8,26,9,42.5,132.5,47.5,0.625,0.45836523,0.42610368,0.15558638,0.02930005,0.20432377
13905,9,26,9,47.5,132.5,47.5,0.75,0.4628984,0.42443287,0.43370858,0.03195319,0.20492254
13906,10,26,9,52.5,132.5,47.5,0.625,0.42080176,0.42602307,0.055808213,0.026552396,0.23190407
13907,11,26,9,57.5,132.5,47.5,0.5,0.36548558,0.3913028,0.055808213,0.03900712,0.2726451
13908,12,26,9,62.5,132.5,47.5,0.25,0.39480028,0.43881577,0.055808213,0.031199368,0.32565248
