BHID,XCOLLAR,YCOLLAR,ZCOLLAR,AZ_UTM,DIP,LENGTH
18257,294366.62,5331077.51,315.69,2.31,-62,54.01
18258,294347.35,5331071.88,316.04,2.31,-74,65.98
18259,294330.99,5331100.91,315.57,182.31,-45,75.01
18260,294270.19,5331091.2,315.77,182.31,-67,59.74
18261,294250.44,5331071.93,320.82,2.31,-60,44.98
18262,294231.29,5331094.79,321.58,2.31,-53,39.01
18263,294229.06,5331056.23,321.91,2.31,-50,56.99
18264,294212.99,5331094.71,322.94,2.31,-60,53.18
18274,294149.51,5331138.61,313.54,182.31,-82,70.98
18275,294173.79,5331138.57,310.84,182.31,-85,52.42
18276,294166.4,5331117.15,312.28,182.31,-45,50.99
18277,294212.99,5331094.71,322.94,182.31,-56,54.01
18278,294186.89,5331152.29,309.63,182.31,-82,56.38
18279,294202.35,5331094.28,322.07,2.31,-67,42.21
18280,294201.41,5331089.9,322.25,182.31,-80,54.01
18291,295033.31,5331159.13,321.35,182.31,-45,62.51
18292,294381.57,5331110.15,314.65,182.31,-62,67.97
18295,294311.94,5331124.78,314.6,182.31,-48,44.01
18296,294317.51,5331088.37,315.91,182.31,-65,47
18297,294291.79,5331149.14,310.79,182.31,-45,48
18298,294286.38,5331052.42,318.42,2.31,-45,54.01
18299,294271.77,5331124.05,313.78,2.31,-45,69
18300,294589.82,5331162.83,314.23,2.31,-80,44.01
18301,294589.82,5331162.83,314.23,182.31,-70,65.98
18302,294588.53,5331151.29,314.09,182.31,-60,54.01
18303,294588.71,5331140.52,314.04,182.31,-60,50.99
18304,294639.82,5331159.8,314.04,2.31,-62,60.01
18305,294639.69,5331156.45,314.04,182.31,-57,63
18306,294669.75,5331208.92,315.43,182.31,-70,69
18307,294672.11,5331188.79,315.69,182.31,-70,65.98
18308,294670.65,5331245.55,314.55,182.31,-70,75.01
18309,294712.58,5331194.47,316.18,2.31,-65,50.99
18310,294712.58,5331194.47,316.18,182.31,-68,56.99
18311,294715.13,5331179.11,316.63,182.31,-60,77.99
18325,294322.9,5331130.22,314.65,182.31,-58,44.98
18326,294322.49,5331120.17,314.65,182.31,-58,33.83
