,BHID,FROM,TO,LITHO_DESC
48471,18135,58.06,59.22,Shear Zone
48472,18135,59.22,63.0,Intermediate to Ultramafic Volcanics
48473,18136,0.0,12.61,Casing
48474,18136,12.61,15.14,Felsic to Intermediate Dykes
48475,18136,15.14,22.18,Intermediate to Ultramafic Volcanics
48476,18136,22.18,25.25,Diorite
48477,18136,25.25,34.99,Intermediate to Ultramafic Volcanics
48478,18136,34.99,35.4,Diorite
48479,18136,35.4,40.46,Intermediate to Ultramafic Volcanics
48480,18136,40.46,41.36,Diorite
48481,18136,41.36,47.7,Intermediate to Ultramafic Volcanics
48482,18136,47.7,52.45,Felsic to Intermediate Dykes
48483,18136,52.45,63.7,Intermediate to Ultramafic Volcanics
48484,18137,0.0,8.62,Casing
48485,18137,8.62,14.02,Intermediate to Ultramafic Volcanics
48486,18137,14.02,24.32,Felsic to Intermediate Dykes
48487,18137,24.32,35.69,Intermediate to Ultramafic Volcanics
48488,18137,35.69,40.21,Diorite
48489,18137,40.21,60.01,Intermediate to Ultramafic Volcanics
48490,18138,0.0,22.37,Casing
48491,18138,22.37,25.02,Felsic to Intermediate Dykes
48492,18138,25.02,60.38,Intermediate to Ultramafic Volcanics
48493,18138,60.38,61.99,Felsic to Intermediate Dykes
48494,18138,61.99,67.42,Shear Zone
48495,18138,67.42,93.22,Early Diorite
48496,18138,93.22,93.32,Intermediate to Ultramafic Volcanics
48497,18138,93.32,94.51,Felsic to Intermediate Dykes
48498,18138,94.51,98.14,Intermediate to Ultramafic Volcanics
48499,18139,0.0,23.95,Casing
48500,18139,23.95,37.71,Intermediate to Ultramafic Volcanics
48501,18139,37.71,38.93,Felsic to Intermediate Dykes
48502,18139,38.93,47.35,Intermediate to Ultramafic Volcanics
48503,18139,47.35,52.1,Early Diorite
48504,18139,52.1,68.82,Intermediate to Ultramafic Volcanics
48505,18139,68.82,69.76,Quartz-Tourmaline Veins
48506,18139,69.76,73.3,Early Diorite
48507,18139,73.3,76.47,Intermediate to Ultramafic Volcanics
48508,18139,76.47,87.61,Early Diorite
