,BHID,AT,AZ,DIP
13407,16039,335.28,4.65,63.0
13408,16039,396.24,3.79,64.0
13409,16039,416.05,3.51,65.0
13410,16039,457.2,4.11,62.0
13411,16039,484.63,4.51,64.5
13879,16230,0.0,2.31,68.0
13880,16230,36.57,2.31,66.0
13881,16230,56.69,2.31,66.0
13882,16231,0.0,2.31,90.0
13883,16231,32.3,2.31,89.0
13884,16231,62.78,2.31,90.0
13885,16231,81.07,2.31,90.0
13886,16232,0.0,2.31,63.0
13887,16232,25.48,2.31,62.0
13888,16233,0.0,2.31,53.0
13889,16233,30.48,2.31,55.0
13890,16233,47.0,2.31,55.0
13891,16234,0.0,2.31,64.0
13892,16234,30.48,2.31,64.0
13893,16234,60.96,2.31,65.0
13894,16234,91.44,2.31,64.0
13895,16234,106.68,2.31,64.0
13896,16235,0.0,182.31,88.0
13897,16235,30.48,182.31,88.0
13898,16235,46.69,182.31,86.0
13899,16236,0.0,2.31,53.0
13900,16236,30.48,2.31,55.0
13901,16236,60.96,2.31,57.0
13902,16236,76.2,2.31,58.0
13903,16237,0.0,182.31,84.0
13904,16237,30.48,182.31,84.0
13905,16237,60.96,182.31,84.0
13906,16238,0.0,182.31,85.0
13907,16238,30.48,182.31,85.0
13908,16238,60.96,182.31,86.0
13909,16239,0.0,2.31,45.0
13910,16239,30.48,2.31,45.0
13911,16239,60.96,2.31,46.0
13912,16239,85.34,2.31,46.0
13914,16240,0.0,182.31,86.0
13915,16240,30.48,182.31,85.0
13916,16240,53.34,182.31,85.0
13917,16241,0.0,2.31,66.0
13918,16241,30.48,2.31,65.0
13919,16241,60.96,2.31,66.0
13920,16241,91.44,2.31,67.0
13921,16241,108.2,2.31,67.0
13922,16242,0.0,2.31,90.0
13923,16242,30.48,2.31,87.0
13924,16242,60.96,2.31,87.0
13925,16242,91.44,2.31,87.0
13926,16242,106.98,2.31,87.0
13927,16243,0.0,2.31,43.0
13928,16243,30.48,2.31,43.0
13929,16244,0.0,182.31,82.0
13930,16244,30.48,182.31,82.0
13931,16246,0.0,2.31,45.0
13932,16246,30.48,2.31,44.0
13933,16246,60.96,2.31,43.0
13934,16247,0.0,182.31,62.0
13935,16247,30.48,182.31,62.0
13936,16247,60.96,182.31,62.0
13937,16247,76.5,182.31,62.0
13938,16247,76.71,182.31,62.0
14183,16295,0.0,2.31,60.0
14184,16295,30.48,2.31,57.0
14185,16295,50.04,2.31,59.0
14318,16353,0.0,2.31,72.0
14319,16353,30.48,2.31,72.0
14320,16354,0.0,182.31,73.0
14321,16354,30.48,182.31,74.0
14322,16354,59.74,182.31,73.0
14323,16355,0.0,182.31,80.0
14324,16355,31.08,182.31,80.0
14325,16356,0.0,182.31,84.0
14326,16356,30.48,182.31,86.0
14327,16356,59.74,182.31,85.0
14328,16357,0.0,182.31,45.0
14329,16357,30.48,182.31,44.0
14330,16357,53.34,182.31,43.0
14331,16358,0.0,2.31,84.0
14332,16358,31.69,2.31,84.0
14333,16358,52.73,2.31,84.0
14334,16359,0.0,2.31,56.0
14335,16359,30.48,2.31,56.0
14336,16359,45.72,2.31,56.0
14338,16360,0.0,182.31,84.0
14339,16360,30.48,182.31,84.0
14340,16360,60.96,182.31,83.0
14341,16361,0.0,2.31,74.0
14342,16361,34.74,2.31,74.0
14343,16362,0.0,2.31,84.5
14344,16362,30.48,360.31,84.0
14345,16362,60.96,358.31,86.0
14346,16362,91.44,356.31,86.0
14347,16362,121.92,354.31,87.0
14348,16362,152.09,352.33,87.0
14349,16362,152.4,352.31,87.0
14350,16362,182.88,352.31,88.0
14351,16362,213.36,352.31,89.0
14433,16382,0.0,2.31,56.0
14434,16382,30.48,2.31,57.0
14435,16383,0.0,182.31,70.0
14436,16383,29.01,182.31,71.0
14437,16383,48.76,182.31,71.0
14994,16704,0.0,2.31,70.0
14995,16704,32.0,2.31,71.0
14996,16705,0.0,2.31,59.0
14997,16705,25.9,2.31,60.0
14998,16706,0.0,2.31,64.0
14999,16706,36.57,2.31,63.0
15000,16707,0.0,2.31,64.0
15001,16707,33.52,2.31,65.0
15002,16708,0.0,2.31,54.0
15003,16708,45.72,2.31,56.0
15004,16709,0.0,2.31,51.0
15005,16709,33.52,2.31,52.0
15007,16710,0.0,2.31,61.0
15008,16710,38.1,2.31,62.0
15009,16711,0.0,2.31,58.0
15010,16711,36.57,2.31,59.0
15011,16712,0.0,2.31,50.0
15012,16712,45.72,2.31,48.0
15013,16713,0.0,2.31,47.5
15014,16713,36.57,2.31,55.0
15015,16714,0.0,2.31,54.5
15016,16714,44.19,2.31,63.0
15017,16715,0.0,2.31,53.5
15018,16715,20.42,2.31,58.0
15019,16715,35.05,2.31,58.0
15020,16716,0.0,182.31,79.0
15021,16716,9.14,182.31,78.0
15022,16716,35.05,182.31,78.0
15023,16717,0.0,2.31,63.0
15024,16717,11.27,2.31,63.0
15025,16717,30.48,2.31,64.0
15026,16718,0.0,2.31,54.0
15027,16718,13.71,2.31,53.0
15028,16718,30.48,2.31,53.0
15046,16728,0.0,2.31,74.0
15047,16728,9.75,2.31,76.0
15048,16728,18.28,2.31,75.0
15049,16729,0.0,2.31,74.0
15050,16729,13.71,2.31,73.0
15052,16730,0.0,2.31,74.0
15053,16730,8.22,2.31,75.0
15054,16730,33.52,2.31,75.0
15055,16731,0.0,2.31,64.0
15056,16731,9.14,2.31,64.0
15057,16731,24.38,2.31,64.0
15058,16732,0.0,182.31,75.0
15059,16732,12.19,182.31,73.0
15060,16732,32.0,182.31,72.0
15061,16733,0.0,2.31,60.0
15062,16733,12.8,2.31,59.0
15063,16733,36.57,2.31,57.0
15064,16734,0.0,182.31,81.0
15065,16734,10.36,182.31,83.0
15066,16734,27.43,182.31,83.0
15067,16735,0.0,182.31,83.0
15068,16735,10.66,182.31,83.0
15069,16735,30.48,182.31,83.0
15070,16736,0.0,2.31,72.0
15071,16736,9.14,2.31,72.0
15072,16736,32.0,2.31,72.0
15586,17,0.0,353.31,35.0
15587,17,30.48,353.31,35.0
15588,17,60.35,353.31,30.0
16902,17563,0.0,2.31,65.0
16903,17563,21.33,2.31,64.0
16904,17564,0.0,2.31,65.0
16905,17564,30.48,2.31,64.0
16906,17565,0.0,2.31,65.0
16907,17565,31.08,2.31,65.0
16908,17566,0.0,2.31,65.0
16909,17566,32.61,2.31,64.0
16910,17567,0.0,2.31,65.0
16911,17567,30.48,2.31,64.0
16912,17567,46.93,2.31,64.0
16913,17568,0.0,2.31,65.0
16914,17568,30.48,2.31,64.0
16915,17568,36.57,2.31,64.0
16916,17569,0.0,2.31,65.0
16917,17569,30.48,2.31,64.0
16919,17570,0.0,2.31,65.0
16920,17570,31.08,2.31,64.0
16921,17571,0.0,2.31,65.0
16922,17571,44.8,2.31,64.0
16923,17572,0.0,2.31,65.0
16924,17572,30.48,2.31,63.0
16925,17573,0.0,2.31,65.0
16926,17573,41.45,2.31,64.0
16944,17586,0.0,2.31,70.0
16945,17586,22.25,2.31,69.0
16946,17587,0.0,2.31,45.0
16947,17587,40.53,2.31,45.0
16948,17588,0.0,2.31,90.0
16949,17588,30.48,2.31,89.0
16950,17589,0.0,2.31,45.0
16951,17589,30.48,2.31,43.0
16952,17589,51.81,2.31,42.0
16954,17590,0.0,2.31,45.0
16955,17590,44.5,2.31,45.0
16956,17591,0.0,2.31,40.0
16957,17591,30.48,2.31,40.0
16958,17591,62.48,2.31,40.0
16959,17592,0.0,2.31,40.0
16960,17592,30.48,2.31,40.0
16961,17592,53.03,2.31,40.0
16962,17593,0.0,2.31,90.0
16963,17593,36.57,2.31,90.0
16964,17594,0.0,182.31,85.0
16965,17594,39.01,182.31,85.0
16979,17600,0.0,2.31,75.0
16980,17600,32.91,2.31,75.0
16981,17601,0.0,2.31,65.0
16982,17601,24.38,2.31,64.0
16983,17602,0.0,2.31,90.0
16984,17602,30.48,2.31,90.0
16985,17602,42.06,2.31,90.0
16986,17603,0.0,2.31,65.0
16987,17603,30.48,2.31,65.0
16988,17604,0.0,2.31,65.0
16989,17604,30.48,2.31,64.0
16990,17605,0.0,2.31,65.0
16991,17605,18.28,2.31,65.0
16992,17606,0.0,2.31,65.0
16993,17606,30.48,2.31,65.0
16994,17606,42.06,2.31,65.0
16995,17607,0.0,2.31,65.0
16996,17607,29.87,2.31,65.0
16997,17608,0.0,2.31,65.0
16998,17608,30.48,2.31,65.0
16999,17609,0.0,2.31,70.0
